number,title,status,section,equation,variables,intuition,relevance
1,Simple Return and Log Return,verify,Time-Series Foundations,r_t = (P_t - P_{t-1})/P_{t-1};   R_t = ln(P_t / P_{t-1}),P_t = asset price at time t  ;  P_{t-1} = asset price one period earlier  ;  r_t = simple (arithmetic) return  ;  R_t = log (continuously-compounded) return  ;  ln = natural logarithm,Returns express price change as a fraction; log returns add cleanly across time and are roughly symmetric.,Returns - not prices - are the modelling unit in quant finance: they are closer to stationary and additive. Standard textbook form shown; the exact source equation was not supplied - verify against your source.
2,Probability from a PDF over an Interval,verify,Time-Series Foundations,P(a <= X <= b) = integral_a^b f(x) dx,"X = continuous random variable  ;  f(x) = probability density function (PDF)  ;  a, b = lower and upper bounds of the interval  ;  integral = area under the PDF between a and b",The chance a random quantity lands in a range equals the area under its density over that range.,"Underpins risk measures (VaR, tail probabilities) and any model that treats returns as draws from a distribution. Standard textbook form shown; the exact source equation was not supplied - verify against your source."
3,k-th Central Moment / Expected Value,verify,Time-Series Foundations,E[X] = integral x f(x) dx;   mu_k = E[(X - mu)^k],"E[.] = expectation operator  ;  mu = mean = E[X]  ;  mu_k = k-th central moment  ;  k = 2 -> variance, k = 3 -> skewness basis, k = 4 -> kurtosis basis",The mean is the probability-weighted average; central moments measure spread and shape around the mean.,"Variance, skewness and kurtosis (fat tails) of returns drive risk and tail-aware modelling. Standard textbook form shown; the exact source equation was not supplied - verify against your source."
4,Null and Alternative Hypotheses for a Mean Test,verify,Time-Series Foundations,H0: mu = mu_0   vs   H1: mu != mu_0,H_0 = null hypothesis (no effect / baseline)  ;  H_1 = alternative hypothesis  ;  mu = true population mean  ;  mu_0 = hypothesized mean value,Frame a question as a default claim (H0) and the change we would need evidence for (H1).,Significance testing checks whether an apparent edge (e.g. non-zero mean return) is real or noise. Standard textbook form shown; the exact source equation was not supplied - verify against your source.
5,t-Statistic for Testing a Population Mean,verify,Time-Series Foundations,t = (xbar - mu_0) / (s / sqrt(n)),xbar = sample mean  ;  mu_0 = hypothesized population mean  ;  s = sample standard deviation  ;  n = sample size  ;  t = test statistic,Measures how many standard errors the sample mean sits from the hypothesized value.,Used to test whether a strategy's mean return / alpha is statistically distinguishable from zero. Standard textbook form shown; the exact source equation was not supplied - verify against your source.
6,Covariance and Correlation,verify,Time-Series Foundations,"Cov(X,Y) = E[(X-muX)(Y-muY)];   rho = Cov(X,Y)/(sigmaX sigmaY)","Cov(X,Y) = covariance of X and Y  ;  rho = correlation coefficient in [-1, 1]  ;  mu_X, mu_Y = means of X and Y  ;  sigma_X, sigma_Y = standard deviations",Covariance measures co-movement; correlation rescales it to a unit-free number between -1 and 1.,The covariance matrix is the engine of portfolio risk and diversification. Standard textbook form shown; the exact source equation was not supplied - verify against your source.
7,Autocorrelation Function (ACF),verify,Time-Series Foundations,"rho_k = Cov(X_t, X_{t-k}) / Var(X_t) = gamma_k / gamma_0",rho_k = autocorrelation at lag k  ;  gamma_k = autocovariance at lag k  ;  gamma_0 = variance of the series  ;  k = lag (time separation),Measures how strongly a series correlates with its own past at each lag.,Reveals persistence / mean-reversion and helps identify MA orders in time-series models. Standard textbook form shown; the exact source equation was not supplied - verify against your source.
8,"Partial Autocorrelation Function (PACF), Regression Form",verify,Time-Series Foundations,X_t = phi_{k1}X_{t-1} + ... + phi_{kk}X_{t-k} + eps_t;  PACF(k)=phi_{kk},phi_{kj} = regression coefficients at lag-k fit  ;  phi_{kk} = partial autocorrelation at lag k (the last coefficient)  ;  X_{t-j} = lagged values  ;  eps_t = error term,The PACF isolates the correlation at lag k after removing the effect of all shorter lags.,Key diagnostic for choosing the order p of an AR model. Standard textbook form shown; the exact source equation was not supplied - verify against your source.
9,Weak (Covariance) Stationarity Conditions,verify,Time-Series Foundations,"E[X_t]=mu const;  Var(X_t)=sigma^2 const;  Cov(X_t,X_{t-k})=gamma_k","mu = constant mean over time  ;  sigma^2 = constant variance over time  ;  gamma_k = autocovariance depending only on lag k, not on t","A series is weakly stationary if its mean, variance, and lag-covariances do not drift over time.",Most classical time-series models assume stationarity; financial data often violates it (non-stationarity). Standard textbook form shown; the exact source equation was not supplied - verify against your source.
10,Autoregressive Model AR(p),verify,Time-Series Foundations,X_t = sum_{j=1}^p phi_j X_{t-j} + eps_t,p = autoregressive order (number of lags)  ;  phi_j = autoregressive coefficient for lag j  ;  X_{t-j} = value j periods ago  ;  eps_t = white-noise error term,Today's value is a weighted sum of its own recent past plus random noise.,"Generalises AR(1); a workhorse for modelling persistence in returns, rates, and volatility. Standard textbook form shown; the exact source equation was not supplied - verify against your source."
11,Autoregressive Model AR(1),ok,Time-Series Foundations,X_t = phi_1 * X_{t-1} + eps_t,X_t = current value of the time series  ;  X_{t-1} = previous time-step value  ;  phi_1 = autoregressive coefficient  ;  eps_t = error / noise term at time t,Today's value is modeled as a scaled version of yesterday's value plus random noise.,"Used to model persistence in prices, returns, rates, volatility, or macro data."
12,Moving Average Model MA(q),ok,Time-Series Foundations,X_t = mu + eps_t + theta_1 eps_{t-1} + ... + theta_q eps_{t-q},X_t = current time-series value  ;  mu = series mean  ;  eps_t = current shock / error  ;  eps_{t-j} = past error term j periods ago  ;  theta_j = moving-average coefficient for lag j  ;  q = order of the moving-average model,The current value depends on current and past shocks rather than directly on past observed values.,Useful when shocks have short-lived but lingering impact.
13,Moving Average Model MA(1),ok,Time-Series Foundations,X_t = mu + eps_t + theta_1 eps_{t-1},X_t = current time-series value  ;  mu = series mean  ;  eps_t = current shock / error  ;  eps_{t-1} = previous shock / error  ;  theta_1 = moving-average coefficient (single lag),Today's value depends on today's shock and yesterday's shock.,Simple model for short-memory disturbance effects.
14,"Autoregressive Moving Average Model ARMA(p, q)",ok,Time-Series Foundations,X_t = sum_j phi_j X_{t-j} + eps_t + sum_j theta_j eps_{t-j},"p = autoregressive order  ;  q = moving-average order  ;  phi_j = autoregressive lag coefficient  ;  theta_j = moving-average shock coefficient  ;  X_{t-j} = past observed value  ;  eps_t, eps_{t-j} = current and lagged errors",Combines persistence from past values with lingering effects from past shocks.,"Foundational time-series model for prices, returns, rates, and macro/market variables."
15,CAPM Alpha Formula,ok,"Alpha, Beta, Volatility & ARCH/GARCH",alpha = R_i - [ R_f + beta (R_m - R_f) ],alpha = excess return beyond CAPM expectation  ;  R_i = investment or portfolio return  ;  R_f = risk-free rate  ;  beta = market sensitivity  ;  R_m = market return,Alpha measures performance beyond what should be expected given market risk.,Core metric for evaluating whether a strategy truly adds value.
